positive_prob,confidence,negative_prob,sentiment
0.0137318,0.969485,0.986268,0
0.00950753,0.978872,0.990492,0
0.388831,0.13593,0.611169,0
0.164617,0.634184,0.835383,0
0.150066,0.66652,0.849934,0
0.138016,0.693298,0.861984,0
0.0430404,0.904355,0.95696,0
0.909008,0.797795,0.0909924,2
0.657604,0.239119,0.342396,2
positive_prob,confidence,negative_prob,sentiment
0.155736,0.653921,0.844264,0
0.0194746,0.956723,0.980525,0
0.21021,0.532866,0.78979,0
0.00446387,0.99008,0.995536,0
0.278498,0.381116,0.721502,0
0.0114704,0.97451,0.98853,0
0.00200006,0.995555,0.998,0
0.373652,0.169661,0.626347,0
0.486448,0.728953,0.513552,1
0.148929,0.669047,0.851071,0
0.263151,0.41522,0.736849,0
0.666325,0.258501,0.333675,2
0.882911,0.739802,0.117089,2
0.0108939,0.975791,0.989106,0
0.618098,0.151329,0.381902,2
0.85519,0.6782,0.14481,2
0.0147991,0.967113,0.985201,0
0.00379214,0.991573,0.996208,0
0.39628,0.119378,0.60372,0
0.778235,0.507189,0.221765,2
0.623828,0.164062,0.376172,2
0.919801,0.821779,0.0801995,2
0.827975,0.617723,0.172025,2
0.0617323,0.862817,0.938268,0
0.447443,0.00568271,0.552557,0
0.147123,0.673059,0.852877,0
0.0288305,0.935932,0.971169,0
0.390978,0.131159,0.609022,0
0.0134227,0.970172,0.986577,0
0.705404,0.345342,0.294596,2
0.157121,0.650842,0.842879,0
0.181635,0.596368,0.818365,0
0.21108,0.530934,0.78892,0
0.437974,0.0267237,0.562026,0
0.453774,0.0754744,0.546226,1
0.45806,0.161205,0.54194,1
0.00200006,0.995555,0.998,0
0.263151,0.41522,0.736849,0
0.00200006,0.995555,0.998,0
0.415915,0.0757444,0.584085,0
0.383317,0.148185,0.616683,0
0.237517,0.472184,0.762483,0
0.00625577,0.986098,0.993744,0
0.315073,0.299838,0.684927,0
0.560225,0.0227214,0.439775,2
0.0129848,0.971145,0.987015,0
0.0209133,0.953526,0.979087,0
0.842419,0.64982,0.157581,2
0.819667,0.599261,0.180333,2
0.180908,0.597982,0.819092,0
0.85448,0.676621,0.14552,2
0.682404,0.294232,0.317596,2
0.110713,0.75397,0.889287,0
0.164611,0.634198,0.835389,0
0.316681,0.296264,0.683319,0
0.396089,0.119803,0.603911,0
0.353826,0.213719,0.646174,0
0.216023,0.519948,0.783977,0
0.0448476,0.900339,0.955152,0
0.0125073,0.972206,0.987493,0
0.0537794,0.88049,0.946221,0
0.397363,0.11697,0.602637,0
0.76273,0.472733,0.23727,2
0.132073,0.706504,0.867927,0
0.223296,0.503786,0.776704,0
0.225375,0.499167,0.774625,0
0.167872,0.626951,0.832128,0
0.00212313,0.995282,0.997877,0
0.651223,0.224939,0.348777,2
0.0760576,0.830983,0.923942,0
0.13793,0.69349,0.86207,0
0.88416,0.742579,0.11584,2
0.470219,0.404372,0.529781,1
0.191068,0.575404,0.808932,0
0.798592,0.552426,0.201408,2
0.358835,0.202588,0.641165,0
0.404085,0.102034,0.595915,0
0.0194846,0.956701,0.980515,0
0.109584,0.756479,0.890416,0
0.0915573,0.796539,0.908443,0
0.243157,0.459651,0.756843,0
0.606071,0.124603,0.393929,2
0.877161,0.727024,0.122839,2
0.0459453,0.897899,0.954055,0
0.672463,0.272139,0.327537,2
0.591292,0.09176,0.408708,2
0.14029,0.688243,0.85971,0
0.768626,0.485836,0.231374,2
0.446268,0.00829405,0.553732,0
0.204605,0.545323,0.795395,0
0.0381419,0.91524,0.961858,0
0.0419584,0.906759,0.958042,0
0.775707,0.501572,0.224293,2
0.377916,0.160186,0.622084,0
0.00265271,0.994105,0.997347,0
0.137359,0.694758,0.862641,0
0.0637016,0.858441,0.936298,0
0.142008,0.684426,0.857992,0
0.617602,0.150227,0.382398,2
0.672718,0.272706,0.327282,2
0.00419658,0.990674,0.995803,0
0.0242261,0.946164,0.975774,0
0.1305,0.710001,0.8695,0
0.0985008,0.781109,0.901499,0
0.045041,0.899909,0.954959,0
0.138494,0.692235,0.861506,0
0.0266226,0.940839,0.973377,0
0.0544996,0.87889,0.9455,0
0.0438647,0.902523,0.956135,0
0.455996,0.11992,0.544004,1
0.508634,0.827313,0.491366,1
0.701754,0.337231,0.298246,2
0.269593,0.400905,0.730407,0
0.363287,0.192696,0.636713,0
0.0148233,0.967059,0.985177,0
0.0958833,0.786926,0.904117,0
0.0462749,0.897167,0.953725,0
0.536646,0.267078,0.463354,1
0.0752271,0.832829,0.924773,0
0.440624,0.0208354,0.559376,0
0.263151,0.41522,0.736849,0
0.789185,0.531522,0.210815,2
0.0637016,0.858441,0.936298,0
0.273692,0.391796,0.726308,0
0.00190661,0.995763,0.998093,0
0.582896,0.0731013,0.417104,2
0.00450922,0.98998,0.995491,0
0.408133,0.0930381,0.591867,0
0.0178234,0.960392,0.982177,0
0.094694,0.789569,0.905306,0
0.0390607,0.913198,0.960939,0
0.766828,0.481841,0.233172,2
0.347431,0.227931,0.652569,0
0.089131,0.801931,0.910869,0
