防护,13
不要,13
起来,12
卫健委,12
公共卫生,12
春晚,12
响应,12
不是,11
应该,11
疾病,11
消毒,11
突发,11
除夕,11
启动,11
一级,11
词条,10086
火神山,100
雷神山,99
新型,80
武汉,76
疫情,63
冠状病毒,44
确诊,39
医院,37
大年初一,40
病毒,34
加油,33
感染,33
大家,30
病例,29
湖北,28
希望,27
真的,25
患者,24
防护,23
今天,22
现在,20
症状,20
全国,19
治愈,19
可能,17
防控,17
药物,17
出现,17
不要,16
国家,15
一定,15
医疗队,15
医生,15
平安,14
人员,14
工作,14
致敬,13
不能,13
肖战,13
春晚,13
发热,13
疫苗,13
钟南山,13
北京,13
词条,10086
新型,123
肺炎,107
全国封锁,100
疫情,107
武汉,95
冠状病毒,89
感染,63
病例,47
确诊,45
医院,41
正月初二,40
工作,39
开工,39
病毒,38
防控,38
口罩,31
女性,29
今天,28
症状,27
中国,27
患者,23
医护人员,23
潜伏期,21
健康,21
援鄂,21
抗击,20
国家,20
莲花清瘟,36
发热,20
26,20
卫健委,19
500,19
离开,19
大家,18
响应,18
市场,18
医生,17
微博,17
万人,17
全国,16
出现,16
启动,16
真的,16
新闻,15
词条,10086
疫情,111
新型,99
肺炎,84
武汉,79
冠状病毒,72
防控,54
感染,48
口罩,45
病例,43
加油,43
确诊,41
医院,34
工作,32
抗击,26
病毒,23
没有,21
希望,21
2020,20
27,20
现在,19
致敬,18
死亡,16
谣言,16
新闻,16
韩红,16
华南,16
可能,15
一线,15
目前,15
患者,14
市场,14
响应,13
很多,13
直播建设医院,43
人民,13
辛苦,13
真的,13
20,12
老师,12
词条,10086
疫情,74
武汉,73
新型,72
肺炎,70
冠状病毒,56
感染,47
加油,41
口罩,39
防控,29
医院,27
工作,25
病毒,24
中国,24
确诊,22
真的,21
病例,20
目前,19
医疗队,19
湖北,19
医生,18
视频,17
希望,16
患者,16
抗击,14
现在,14
没有,13
一起,13
舒信兰,13
所有,12
传播,12
传染,12
不会,12
钟南山,12
接触,11
全国,11
已经,11
发热,11
卫健委,11
一定,11
无症状,11
物资,51
词条,10086
疫情,104
新型,95
肺炎,88
武汉,82
加油,56
感染,53
确诊,38
医院,38
病例,37
病毒,37
中国,29
患者,25
抗击,21
湖北,20
新冠,20
没有,19
医生,19
人员,18
微博,18
看到,17
世界卫生组织,45
工作,17
现在,16
大家,16
全国,15
视频,15
健康,15
发布,15
物资,14
时间,14
治愈,13
医疗,13
应该,12
专家,12
人民,12
发热,12
顺丰,12
王源,12
